objectName,English,French
tmi_File,File,Fichiers
tmi_File_SaveAll,Save All,Sauver tout
tmi_File_EditFiles,Edit Files,Editer les fichiers
tmi_File_ImportGPX,Import GPX/JSON Track Files,Importer des fichiers de piste GPX/JSON
tmi_File_Quit,Quit,Quitter
tmi_Settings,Settings,Paramètres
tmi_Settings_Settings,Settings,Paramètres
tmi_Help,Help,Aide
tmi_Help_About,About,A propos
tmi_File_CopyGeoData,Copy All Geodata,Copier toutes les Geodatas
tmi_File_PasteGeoData,Paste All Geodata,Coller toutes les Geodatas
tmi_ShowHideCols,Show or Hide Columns,Montrer ou cacher les colonnes
tmi_removeCachedData,Remove Cached Data,Supprimer le cache
tmi_Settings_Favourites,Manage Favourites,
tmi_OpenCoordsInAPI,Open Coordinates in API,
tmi_Help_FeedbackFeatureRequest,File a feature request (GitHub),
tmi_Help_BugReport,File a bug report (GitHub),
